               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10831,            0.013756,                   0,          0.00078889,             0.23746,           0.0015472,          0.00035961,             0.10047,             0.01279,                   0,            0.070789,           0.0032456,           0.0032456
                   1,             0.10096,            0.015276,                   0,           0.0011167,             0.33612,           0.0015623,          0.00042333,            0.097169,            0.013222,                   0,            0.040724,           0.0065138,           0.0065138
                   2,            0.096925,            0.016263,                   0,           0.0015778,             0.47492,           0.0015685,          0.00045214,            0.095535,            0.013396,                   0,            0.010593,            0.009716,            0.009716
                   3,            0.091831,            0.016813,                   0,           0.0019111,             0.57525,              0.0114,           0.0029706,            0.079663,            0.015464,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.080497,            0.017918,                   0,           0.0017722,             0.53344,           0.0016894,          0.00054172,             0.12262,            0.013437,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.067254,             0.01777,                   0,            0.097699,             0.26923,            0.064969,            0.017491,             0.08288,             0.01205,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.058878,            0.018766,                   0,            0.038564,             0.48662,             0.03274,            0.012394,            0.070117,              0.0184,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.054267,            0.017479,                   0,            0.054491,             0.41304,            0.047129,            0.016031,            0.053863,            0.015627,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.050618,            0.016724,                   0,             0.40885,             0.70401,               0.415,             0.18613,            0.043897,            0.013885,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.046999,            0.016165,                   0,             0.44162,             0.76087,             0.42256,             0.17583,            0.045124,            0.012898,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.047253,             0.01492,                   0,             0.71541,              0.8495,             0.80661,             0.36352,            0.038901,            0.012762,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.044432,            0.014177,                   0,             0.71985,             0.75251,               0.808,             0.34788,            0.038499,            0.011995,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.044742,            0.013692,                   0,             0.91627,             0.90635,              0.9459,             0.48191,            0.035621,            0.011601,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.040084,            0.013347,                   0,             0.88036,             0.88592,             0.91246,             0.44023,            0.035344,            0.013225,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.040722,            0.012504,                   0,             0.89747,             0.89289,             0.94315,             0.49178,            0.032431,            0.010205,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.03897,              0.0123,                   0,             0.87875,              0.8968,             0.91735,              0.4925,            0.032515,           0.0098606,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.039834,            0.011833,                   0,             0.95375,              0.9214,             0.96302,             0.51128,            0.034042,            0.009129,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.038448,            0.010868,                   0,             0.90579,              0.8796,             0.93404,             0.53019,            0.033281,           0.0092409,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.037558,             0.01097,                   0,             0.97494,             0.94147,             0.97428,             0.58314,            0.028348,           0.0088714,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.036989,            0.010388,                   0,             0.96558,             0.93833,             0.96656,             0.54037,            0.030425,           0.0083879,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.036652,           0.0099413,                   0,             0.95932,             0.94147,             0.97006,             0.53124,            0.030749,           0.0088566,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.035497,            0.010007,                   0,              0.9726,             0.94964,             0.97591,             0.50982,            0.031182,           0.0082651,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.035488,            0.009861,                   0,             0.98608,             0.94797,             0.97825,              0.5438,            0.031591,           0.0079277,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.034414,           0.0093792,                   0,             0.97949,             0.95825,             0.97991,             0.55567,            0.030241,           0.0085048,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.035128,           0.0092073,                   0,              0.9843,             0.94147,              0.9724,             0.56843,            0.028066,           0.0074484,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.035159,           0.0090055,                   0,             0.98257,             0.94262,              0.9746,             0.51857,            0.031444,           0.0083726,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.033031,           0.0089767,                   0,             0.94779,             0.92308,             0.92327,             0.45292,             0.03261,           0.0082079,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.033318,           0.0083485,                   0,             0.98988,              0.9699,             0.98451,             0.58677,            0.028071,           0.0068039,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.032481,           0.0083309,                   0,             0.98498,             0.95987,             0.98585,             0.62001,            0.028916,           0.0072216,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.032351,           0.0081913,                   0,             0.98978,             0.97125,             0.98643,             0.63921,            0.025729,           0.0065491,                   0,            0.007228,            0.007228,            0.007228
