               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.021268,           0.0060787,                   0,             0.99877,                   1,             0.99497,             0.75415,            0.018535,           0.0045511,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.021128,           0.0060772,                   0,             0.99885,                   1,               0.995,             0.75664,            0.018121,           0.0045439,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.021404,           0.0061725,                   0,             0.99885,                   1,             0.99487,             0.74407,            0.018716,           0.0045497,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.020492,           0.0058775,                   0,             0.99888,                   1,               0.995,             0.75518,            0.018262,           0.0045684,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.020454,           0.0060758,                   0,             0.99865,                   1,             0.99477,             0.75499,            0.018393,           0.0043973,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.019712,           0.0058162,                   0,              0.9989,                   1,             0.99473,             0.77607,            0.017869,           0.0043692,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.019751,           0.0059076,                   0,             0.99569,                   1,             0.99474,             0.76037,            0.017982,           0.0045283,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.020644,           0.0060072,                   0,             0.99883,                   1,              0.9949,             0.76271,            0.017871,           0.0043955,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.019653,           0.0057738,                   0,             0.99885,                   1,             0.99499,             0.76341,            0.017975,            0.004343,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.020231,           0.0058599,                   0,             0.99855,                   1,             0.99479,             0.76492,            0.017674,           0.0043713,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.019441,            0.005722,                   0,             0.99891,                   1,             0.99499,             0.76145,            0.017674,           0.0043278,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.019536,           0.0056082,                   0,             0.99882,                   1,             0.99489,             0.76826,            0.017878,           0.0043178,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.019304,           0.0056955,                   0,             0.99882,                   1,             0.99484,             0.77514,            0.017379,           0.0042892,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.019467,            0.005641,                   0,             0.99879,                   1,             0.99491,              0.7704,            0.017448,           0.0043028,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.019422,           0.0059075,                   0,             0.99891,                   1,             0.99479,             0.77347,            0.017654,           0.0042781,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.019001,           0.0057109,                   0,             0.99879,                   1,               0.995,             0.76959,            0.017433,           0.0043427,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.019097,           0.0055159,                   0,             0.99888,                   1,             0.99499,             0.77016,            0.017263,           0.0042215,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.019071,           0.0054983,                   0,              0.9989,                   1,             0.99476,             0.78046,            0.017211,           0.0041694,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.018842,           0.0057417,                   0,             0.99885,                   1,             0.99497,               0.774,            0.017149,           0.0042506,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.018796,           0.0054618,                   0,             0.99883,                   1,             0.99498,             0.77474,            0.017358,           0.0042081,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.018527,           0.0055973,                   0,             0.99879,                   1,             0.99494,              0.7764,            0.017193,           0.0041645,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.018378,           0.0055352,                   0,              0.9988,                   1,             0.99493,             0.77597,            0.017004,           0.0042106,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.018264,           0.0056377,                   0,             0.99887,                   1,             0.99485,             0.77983,            0.017143,           0.0041558,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.018488,           0.0055815,                   0,             0.99884,                   1,               0.995,             0.77839,            0.017043,           0.0041407,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.018388,           0.0054485,                   0,             0.99884,                   1,             0.99499,             0.78148,            0.016781,           0.0041715,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.018449,           0.0055268,                   0,             0.99886,                   1,              0.9949,             0.78387,            0.016793,           0.0041401,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.018318,           0.0054592,                   0,              0.9988,                   1,             0.99499,             0.77995,            0.016845,           0.0041152,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.01833,           0.0057035,                   0,              0.9988,                   1,             0.99491,             0.78221,            0.017102,           0.0041031,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.01854,           0.0055863,                   0,             0.99862,                   1,             0.99492,             0.78167,            0.016917,           0.0040962,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.018098,           0.0052081,                   0,             0.99889,                   1,             0.99491,             0.78171,             0.01696,           0.0041328,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.018222,           0.0055709,                   0,             0.99887,                   1,               0.995,             0.77694,            0.016797,           0.0041334,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.01807,           0.0052782,                   0,             0.99881,                   1,             0.99495,             0.78333,            0.016634,            0.004102,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.017999,             0.00523,                   0,             0.99882,                   1,               0.995,              0.7843,            0.016789,           0.0040801,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.01794,           0.0052931,                   0,             0.99888,                   1,             0.99499,             0.78622,            0.016457,           0.0040561,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.017575,           0.0054949,                   0,              0.9988,                   1,               0.995,             0.78883,            0.016529,            0.004043,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.017725,           0.0053546,                   0,             0.99974,                   1,               0.995,             0.78312,            0.016963,           0.0040383,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.01784,           0.0053214,                   0,             0.99861,                   1,             0.99493,             0.78592,            0.016505,           0.0040896,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.017592,           0.0053274,                   0,             0.99892,                   1,               0.995,             0.78308,               0.017,           0.0040417,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.017566,           0.0053909,                   0,             0.99885,                   1,               0.995,             0.78408,            0.016689,           0.0040595,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.017814,           0.0053197,                   0,             0.99891,                   1,               0.995,             0.78649,            0.016436,           0.0040385,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.01731,           0.0050407,                   0,             0.99882,                   1,             0.99498,             0.79139,            0.016442,           0.0040271,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.017461,            0.005219,                   0,             0.99887,                   1,             0.99481,             0.78439,            0.016903,           0.0040654,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.01706,           0.0053615,                   0,             0.99881,                   1,             0.99482,             0.79027,            0.016608,           0.0040217,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.017361,           0.0054874,                   0,              0.9989,                   1,             0.99492,             0.79372,            0.016378,           0.0039829,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.017171,           0.0051761,                   0,             0.99887,                   1,             0.99479,             0.79326,            0.016217,           0.0039844,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.017324,           0.0053466,                   0,             0.99885,                   1,             0.99491,             0.78997,            0.016625,           0.0039996,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.017205,           0.0050532,                   0,             0.99886,                   1,             0.99497,             0.78942,            0.016349,           0.0039722,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.017249,           0.0053029,                   0,             0.99884,                   1,              0.9949,             0.79301,            0.016348,           0.0039998,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.016989,            0.005184,                   0,             0.99887,                   1,              0.9949,             0.79332,            0.016276,           0.0039677,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.017147,           0.0048697,                   0,             0.99889,                   1,             0.99498,             0.79402,            0.016254,           0.0039654,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017134,           0.0052137,                   0,             0.99883,                   1,               0.995,             0.79608,            0.016261,           0.0039439,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017016,           0.0051907,                   0,             0.99878,                   1,             0.99496,             0.80022,            0.016275,           0.0039402,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.016978,           0.0051915,                   0,             0.99891,                   1,             0.99496,             0.79556,            0.016086,           0.0039692,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.017058,           0.0050644,                   0,             0.99891,                   1,             0.99497,             0.79466,             0.01614,           0.0039374,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017353,           0.0052642,                   0,              0.9989,                   1,             0.99496,             0.79738,            0.016076,           0.0039344,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.016505,           0.0052383,                   0,             0.99891,                   1,             0.99497,             0.80019,            0.015998,           0.0039287,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016879,           0.0051087,                   0,             0.99889,                   1,             0.99491,             0.79389,            0.016281,           0.0039227,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017067,           0.0052991,                   0,              0.9989,                   1,             0.99491,             0.80031,            0.016144,           0.0039226,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016716,           0.0052736,                   0,             0.99889,                   1,             0.99496,             0.80245,             0.01593,           0.0039102,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.016728,            0.005108,                   0,              0.9989,                   1,             0.99498,             0.80399,            0.015818,           0.0038985,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016767,           0.0050483,                   0,              0.9989,                   1,             0.99498,             0.80122,            0.015878,           0.0039092,                   0,            0.000298,            0.000298,            0.000298
